,name,address,category,number,website
0,포항시 남구 정신건강복지센터,37878 포항시 남구 동해안로 6119,유관기관 > 정신건강복지센터,054-270-4091,
1,포항시 북구 정신건강복지센터,37607 포항시 북구 삼흥로 98 포항시 북구보건소 내,유관기관 > 정신건강복지센터,054-270-4194,
2,하동군정신건강복지센터,하동군 하동읍 군청로 31 하동군보건소,유관기관 > 정신건강복지센터,880-6647,
3,함안군정신건강복지센터,함안군 가야읍 중앙남4길 10 함안군보건소,유관기관 > 정신건강복지센터,580-3201,
4,함양군정신건강복지센터,함양군 함양읍 한들로 141 함양군보건소,유관기관 > 정신건강복지센터,960-5358,
5,합천군정신건강복지센터,합천군 합천읍 동서로 39 합천군보건소,유관기관 > 정신건강복지센터,930-4835,
6,화천군 정신건강증진센터,화천군 화천읍 강변로 111,유관기관 > 정신건강복지센터,033-440-2863,
7,흥덕정신건강복지센터,흥덕구 비하로 15번길16,유관기관 > 정신건강복지센터,043-234-8686,
8,중앙치매센터,서울특별시 중구 을지로 245 (을지로 6가 18-79) 국립중앙의료원 중앙치매센터,치매센터 > 중앙치매센터,1666-0921,www.nid.or.kr
9,서울특별시 광역치매센터,서울시 종로구 대학로 47 이화에수풀 2층,치매센터 > 광역치매센터,02-3431-7200,seoul.nid.or.kr/home/main/main.aspx
10,부산광역시 광역치매센터,"부산광역시 서구 대신공원로 26, 동아대학교병원 센터동 10층",치매센터 > 광역치매센터,051-240-2560,https://busan.nid.or.kr
11,대구광역시 광역치매센터,대구광역시 북구 호국로 807 칠곡경북대학교병원 2층,치매센터 > 광역치매센터,053-323-6321,daegu.nid.or.kr/home/main/main.aspx
12,인천광역시 광역치매센터,인천광역시 부평구 동수로 56 가톨릭대학교인천성모병원 제3별관 1층,치매센터 > 광역치매센터,032-472-2027,incheon.nid.or.kr/home/main/main.aspx
13,광주광역시 광역치매센터,광주 동구 제봉로 27 (학동) 한일빌딩 4층,치매센터 > 광역치매센터,062-226-2182,gwangju.nid.or.kr/home/main/main.aspx
14,대전광역시 광역치매센터,대전광역시 중구 문화로 282 충남대병원 노인보건의료센터 2층,치매센터 > 광역치매센터,042-280~8965,daejeon.nid.or.kr/home/main/main.aspx
15,울산광역시 광역치매센터,"울산 중구 태화로 240 (태화동, 동강병원남관) 6층",치매센터 > 광역치매센터,052-241-1591,ulsan.nid.or.kr/home/main/main.aspx
16,세종특별자치시 광역치매센터,세종특별자치시 조치원읍 수원지1길 16,치매센터 > 광역치매센터,044-861-8540,sejong.nid.or.kr/home/main/main.aspx
17,경기도 광역치매센터,경기도 수원시 장안구 경수대로 1150번지 경기도 인재개발원 내 신관1층,치매센터 > 광역치매센터,031-271-7021,gyeonggi.nid.or.kr/home/main/main.aspx
19,충청북도 광역치매센터,"충북 청주시 서원구 1순환로 767 (개신동, 지오빌딩) 3층",치매센터 > 광역치매센터,043-269-6891,chungbuk.nid.or.kr/home/main/main.aspx
20,충청남도 광역치매센터,"충남 천안시 동남구 망향로 195 (안서동, 유니온빌딩) 1층 충청남도 광역치매센터",치매센터 > 광역치매센터,041-550-7400,chungnam.nid.or.kr/home/main/main.aspx
21,전라북도 광역치매센터,"전라북도 전주시 덕진구 견훤로 393, 혜성빌딩 2층",치매센터 > 광역치매센터,063-247-6082,jeonbuk.nid.or.kr/home/main/main.aspx
