,hospital,address,name,content,date,visits
0,서울바른병원,서울 영등포구 여의대방로 145,oyu****,"입구부터 느껴지는 청결함과, 친절한 분위기! 웃으며 인사해주신 직원분께 감사",2023년 9월 14일 목요일,1번째 방문
1,서울바른병원,서울 영등포구 여의대방로 145,o0p****,설명 쉽게 쉽게 잘해주시고 꼼꼼함 면에서도 상당히 만족스러워요,2023년 9월 13일 수요일,1번째 방문
2,서울바른병원,서울 영등포구 여의대방로 145,asy****,"다른데 안가고 여기서 치료 받길 잘했어요, 상담부터 편하게해주셔서 감사해요",2023년 9월 12일 화요일,1번째 방문
3,서울바른병원,서울 영등포구 여의대방로 145,93****,치료 장비나 시설 부분 너무 만족스러워요 여기 다들 아셨으면 합니다.,2023년 9월 11일 월요일,1번째 방문
4,서울바른병원,서울 영등포구 여의대방로 145,son****,친절합니다.,2023년 9월 8일 금요일,9번째 방문
5,서울바른병원,서울 영등포구 여의대방로 145,oho****,원장님께서 강조하시는 부분들이 저도 되게와닿고 좋아요~ 덕분에 치료잘되고있네요,2023년 9월 8일 금요일,1번째 방문
6,서울바른병원,서울 영등포구 여의대방로 145,dcp****,노력하니까 개선되네요 서울바른병원 다녀보길 진짜 잘한것같습니다!!,2023년 9월 7일 목요일,1번째 방문
7,서울바른병원,서울 영등포구 여의대방로 145,son****,"의사선생님 친철하세요~
조근호원장님~ 수술도 치료도 잘해주시네요~",2023년 9월 6일 수요일,8번째 방문
8,서울바른병원,서울 영등포구 여의대방로 145,39b****,여기 좋았던점이 진짜 친절하고 강요하는부분이 아주조금도없어요 ㅎㅎㅎ,2023년 9월 6일 수요일,1번째 방문
9,서울바른병원,서울 영등포구 여의대방로 145,abukcy,친절도 중,2023년 9월 4일 월요일,2번째 방문
10,서울바른병원,서울 영등포구 여의대방로 145,xtu****,진료의 처음과 끝 모든 부분 만족스러워요 책임감있는 진료 감사해요,2023년 9월 4일 월요일,1번째 방문
11,서울바른병원,서울 영등포구 여의대방로 145,son****,의사선생님이 친절해요~,2023년 9월 3일 일요일,7번째 방문
12,서울바른병원,서울 영등포구 여의대방로 145,an****,인터넷에서 병원 찾다가알게됏는데 여태 다녀본 병원 중에제일 마음에 들어요 ㅎㅎ,2023년 9월 1일 금요일,1번째 방문
13,서울바른병원,서울 영등포구 여의대방로 145,dug****,비추,2023년 9월 1일 금요일,1번째 방문
14,서울바른병원,서울 영등포구 여의대방로 145,zru****,치료선생님들이 친절하시고 적극적으로 치료해주십니다. 만족하고있습니다.,2023년 8월 31일 목요일,1번째 방문
15,서울바른병원,서울 영등포구 여의대방로 145,오차우,치료 잘 해 줘요,2023년 8월 30일 수요일,1번째 방문
16,서울바른병원,서울 영등포구 여의대방로 145,div****,상담 하나하나 자세히 설명해주시고 이해하기 쉽게 알려줘서 굿굿이에요,2023년 8월 30일 수요일,1번째 방문
17,서울바른병원,서울 영등포구 여의대방로 145,omi****,친절하게 해주시니까 긴장없이 치료 받을수 있었어요 다음 달에 뵙겠습니당,2023년 8월 29일 화요일,1번째 방문
18,서울바른병원,서울 영등포구 여의대방로 145,vwe****,디스크로 여러곳 많이 다녀봤는데 이렇게 꼼꼼한 원장님 계신곳은 처음이에요,2023년 8월 28일 월요일,1번째 방문
19,서울바른병원,서울 영등포구 여의대방로 145,pma****,꾸준히 다니는중인데 늘 친절하시고 설명도 진료도 잘해주셔서감사합니다,2023년 8월 25일 금요일,1번째 방문
20,서울바른병원,서울 영등포구 여의대방로 145,bkk****,.,2023년 8월 24일 목요일,1번째 방문
21,서울바른병원,서울 영등포구 여의대방로 145,deo****,무조건 강요하기보다 저한테 어떤게 나을지 같이 고민해주셔서 좋아요,2023년 8월 24일 목요일,1번째 방문
22,서울바른병원,서울 영등포구 여의대방로 145,leo****,제 지인들 한테 추천하고 싶은 곳이에요~! 치료 잘해주셔서 감사합니다,2023년 8월 23일 수요일,1번째 방문
23,서울바른병원,서울 영등포구 여의대방로 145,exc****,응대부터가 정말 맘에들고 치료도 저한테 잘맞는곳이라 자주갈예정,2023년 8월 22일 화요일,1번째 방문
24,서울바른병원,서울 영등포구 여의대방로 145,pch1118,조아요!,2023년 8월 21일 월요일,1번째 방문
25,서울바른병원,서울 영등포구 여의대방로 145,ezi****,엄청 꼼꼼하시다는 후기 많이 들었는데 진짜 잘해주시더라구요 만족~!,2023년 8월 21일 월요일,1번째 방문
26,서울바른병원,서울 영등포구 여의대방로 145,eun****,뭔가 숙련도가 가득찬 느낌이랄까 하나하나 안정감있게 잘하시네요,2023년 8월 18일 금요일,1번째 방문
27,서울바른병원,서울 영등포구 여의대방로 145,par****,의사선생님이 친절하세요 어른들이 가시기에도 좋을듯!! 분위기 좋아요,2023년 8월 17일 목요일,1번째 방문
28,서울바른병원,서울 영등포구 여의대방로 145,kte****,진심으로 반갑게 인사해주시고 원장님 실력도 명불허전^^ 넘 좋아요,2023년 8월 16일 수요일,1번째 방문
29,서울바른병원,서울 영등포구 여의대방로 145,amu****,첫방문 상담갔는데 너무 꼼꼼히 봐주시고 설명도 잘해주셨어요,2023년 8월 14일 월요일,1번째 방문
30,서울바른병원,서울 영등포구 여의대방로 145,big****,진료 되게 잘해주셔서 옆 동네여도 계속 다니고 싶은 마음입니다 ㅎㅎㅎ,2023년 8월 11일 금요일,1번째 방문
31,서울바른병원,서울 영등포구 여의대방로 145,igj****,리뷰 보고 방문 했는데 원장님께서 잘설명 해주시고 꼼꼼하게 치료 해주셨어요~,2023년 8월 9일 수요일,1번째 방문
32,서울바른병원,서울 영등포구 여의대방로 145,eue****,우리동네에서 내가 아는 곳중 가장 잘하는것 같고 친절하고 깨끗합니다,2023년 8월 8일 화요일,1번째 방문
33,서울바른병원,서울 영등포구 여의대방로 145,bid****,적극 추천합니다 ^^ 너무 마음에 들어용!! 선생님도 직원분들도 다 친절하세요,2023년 8월 7일 월요일,1번째 방문
34,서울바른병원,서울 영등포구 여의대방로 145,김화연6,제가 원하는 부분 어떤건지 캐치를 잘해주시고 치료도 깔끔하게 해주십니다,2023년 8월 4일 금요일,1번째 방문
35,서울바른병원,서울 영등포구 여의대방로 145,jwssbbqq,한 건물에 종합으로 있어서 편합니다,2023년 8월 4일 금요일,1번째 방문
36,서울바른병원,서울 영등포구 여의대방로 145,eoe****,굿,2023년 8월 4일 금요일,1번째 방문
37,서울바른병원,서울 영등포구 여의대방로 145,dlearnlaughw39,진료를 꼼꼼하게 해주시고 무엇보다 원장님이 너무 친절하세요ㅠㅠㅠ,2023년 8월 3일 목요일,1번째 방문
38,서울바른병원,서울 영등포구 여의대방로 145,뭉치822,의사선생님 완전 친절하셔요~~병원도 깨끗하고 앞으로 정형외과쪽은 바른병원으로 찜했어요,2023년 8월 3일 목요일,1번째 방문
39,서울바른병원,서울 영등포구 여의대방로 145,xme****,디스크로 병원다녔던 시간 쭈욱 돌아봐도 이만한 곳이 없었던것 같아요 정말정말 만족해요,2023년 8월 2일 수요일,1번째 방문
40,서울바른병원,서울 영등포구 여의대방로 145,ijp****,병원이 깔끔하고 잘하시는분들밖에 없어서 불편한 부분이 하나도 없었습니다!,2023년 8월 1일 화요일,1번째 방문
41,서울바른병원,서울 영등포구 여의대방로 145,evo****,괜찮은곳 찾아 헤매인지가 꽤 오래되었는데 이번선택은 신의한수였어요 정말 잘하는곳,2023년 7월 31일 월요일,1번째 방문
42,서울바른병원,서울 영등포구 여의대방로 145,aby****,선생님이 친절하게 잘 봐주세요!근래에 보기 드문 의사선생님이시네요,2023년 7월 28일 금요일,1번째 방문
43,서울바른병원,서울 영등포구 여의대방로 145,oxb****,원장님과 직원분들 친절하네요설명도 잘해주시고 치료 잘받고 갑니다,2023년 7월 27일 목요일,1번째 방문
44,서울바른병원,서울 영등포구 여의대방로 145,aef****,치료쌤들과 간호사님 의사쌤 다들 친절하시구 깔끔하고 넘 좋았어요~~~,2023년 7월 26일 수요일,1번째 방문
45,서울바른병원,서울 영등포구 여의대방로 145,hai****,설명이 친절하고 효과도 제가 기대했던것보다 훨씬 좋아요 계속 방문하고싶습니다!,2023년 7월 24일 월요일,1번째 방문
46,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,좋아요,2023년 7월 24일 월요일,20번째 방문
47,서울바른병원,서울 영등포구 여의대방로 145,차도리5639,선생님이 친절해요,2023년 7월 22일 토요일,1번째 방문
48,서울바른병원,서울 영등포구 여의대방로 145,aqe****,아프지만 효과는 좋은것같아요! 한시간동안 고통 참으면 일주일은 괜찮다고나 할까요~~,2023년 7월 21일 금요일,1번째 방문
