,app,review,rating,tokenized_review,replaced_review
1072,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,너무 힘들다,1,,
1167,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,훌륭,1,,
1192,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,좋아요,1,,
1226,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,칼로리점요,1,칼로리,칼로리
1244,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,너무너무아프당~~,1,,
1258,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,완전마음에쏙든,1,마음,마음
1277,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,그닥,2,,
1302,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,자꾸 오류 나는지,1,오류,오류
1408,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,이거모야몸으게가줄지도않아,1,모야,모야
1436,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,너무느림,2,느림,느림
1502,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,김서이,1,김서,김서
1583,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,혼자서도 할수있는 정말 맘에드는웹,1,,
1630,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,조금했는데 따라하기가 아고고~~,2,아고고,아고고
1661,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,운동의날이다.,1,운동,운동
1757,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,마지막에 계산도와준다는데 이거 뭔가요?,1,계산,계산
1788,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,다른 운동이 더 효과 있습니다.,2,운동,운동
1976,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,업뎃후 어플이 제대로 실행이 안됨,1,실행,실행
2039,Virtuagym Fitness Tracker - Home & Gym,동영상이 안되면 소용없는거잖아요ㅠㅠ,1,동영상,동영상
2051,Virtuagym Fitness Tracker - Home & Gym,동영상재생안됨..,1,동영상 재생,동영상 재생
2056,Virtuagym Fitness Tracker - Home & Gym,자세가 정확하지 않네요,1,자세 정확,자세 정확
2057,Virtuagym Fitness Tracker - Home & Gym,시리우스 사용자인데 왜 동영상 재생이 안될까요?,0,시리우스 동영상 재생,시리우스 동영상 재생
2121,체중 감량 운동 by Verv,이정도면 사기아닌가요 체험용 무료하고해서 다운받았어요 얼마뒤 폰을 바꿔서 이 어플을 다운 받았다는것도 몰랐어요 1년동안 한번도 사용하지않은 어플요금이 계속 나갔더군요 전부 환불해주세요,1,체험 무료 요금 환불,체험 무료 요금 환불
2123,체중 감량 운동 by Verv,댓글을 이제 봤네요 깔고 바로 삭제했는데 결제 안되게 해주세요,1,댓글 삭제 결제,댓글 삭제 결제
2124,체중 감량 운동 by Verv,탈퇴하고 싶은데 방법을 모르겠어요. 로그아웃밖에 안보여요..(메세지는 잘 받았습니다 하지만 영어로 되어 있어서 알 수가 없어요 한국말로 해석 해주세요) 다시 사용중입니다. 그래도 나중에 위해 탈퇴하고 싶어요,1,탈퇴 방법 로그아웃 메세지 영어 해석 탈퇴,탈퇴 방법 로그아웃 메세지 영어 해석 탈퇴
2128,체중 감량 운동 by Verv,체험판 사용해보고 결정하려고 했는데 왜 멋대로 결제하나요. 환불해주세요.,1,체험 결정 결제 환불,체험 결정 결제 환불
2129,체중 감량 운동 by Verv,결제취소해주세요 결제한적없는데 결제되있네요,1,결제 취소 결제 결제,결제 취소 결제 결제
2130,체중 감량 운동 by Verv,따로 설명이 없어서 유로인지 모르고 다운로드 했습니다.사이트는 열어보지 않고 후기를 보고 바로 삭제했네요. 혹시 자동 유로 신청이 될까 글 남김니다 반드시 취소 부탁드립니다. 취소 후 바로 확인 답변 주시기 바랍니다.,1,설명 유로 다운로드 사이트 후기 삭제 자동 유로 신청 취소 부탁 취소 확인,설명 유로 다운로드 사이트 후기 삭제 자동 유로 신청 취소 부탁 취소 확인
2131,체중 감량 운동 by Verv,결제취소해주세요.,1,결제 취소,결제 취소
2132,체중 감량 운동 by Verv,자동결제 환불해주시고 계정탈퇴 요망,1,자동 결제 환불 계정 탈퇴 요망,자동 결제 환불 계정 탈퇴 요망
2133,체중 감량 운동 by Verv,Sorry I didn't know that it is paid automatically. I want to refund it as soon as possible and drop out from this application.,1,,
2134,체중 감량 운동 by Verv,자동결제 안되게해주시고 환불해주세요,1,자동 결제 환불,자동 결제 환불
2135,체중 감량 운동 by Verv,아니ㄱㅋㅋㅋ 결제가 왜 되냐 프리미엄 한 적도 없는데 당장 결제취소해줘요 Give me a refund right away. Why do you pay as you like? I didn't choose premium,1,결제 프리미엄 결제 취소,결제 프리미엄 결제 취소
2136,체중 감량 운동 by Verv,무료인줄알았는데 결제가 되었네요 취소해주세요,1,무료 결제 취소,무료 결제 취소
2137,체중 감량 운동 by Verv,결제 취소해주세요.,1,결제 취소,결제 취소
2138,체중 감량 운동 by Verv,"I applied for a free 7-day trial, but I'd like to cancel it. Please do not accept automatic payment aften 7days. Please do.",2,,
