,app,review,rating,tokenized_review,replaced_review
1000,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,👍,5,,
1001,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,힘들지만  살이  빠지는것  같아요.    땀이 많이나요   진짜 말을 할수가 없어요. 진짜 최고!!!!,5,최고,최고
1002,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,너무좋아요,5,,
1003,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,짱,5,,
1004,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,말이 필요없다. 운동 앱중에선 단연 이 어플이 최고!,5,필요 운동 최고,필요 운동 최고
1005,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,이 앱은 운동이 너무   잘되요. 이앱  짱짱맨입니다. 이앱 많이 깔아 주세요~♡그리고 우리 엄마 갑자기 예뻐졌어요.왜냐하면 이앱 때문입니다.(최고입니다.),5,운동 최고,운동 최고
1006,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,좋아요  꾸준하면  살이빠질것같아요,5,,
1007,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,좋아요~~ 집중적으로 운동이 잘되네요,5,집중 운동,집중 운동
1008,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,좋음,5,,
1009,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,몇년째 잘 사용하고 있습니다^^,5,,
1010,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,굿,5,,
1011,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,굿,5,,
1012,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,운동의 도움이 됨,5,운동 도움,운동 도움
1013,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,조아요,5,조아,조아
1014,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,최고에여,5,최고,최고
1015,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,우와~~,5,우와,우와
1016,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,조금했는데 금방 땀나고.. 계속할 수 있을거 같아요 동영상 따라하면 되고 알림도 울려주니 계속 안쳐다봐도 동작바뀌는걸 알 수 있고 시간설정도 할 수있어서 능력껏 할 수 있어요 효과보면 정식판 구매하려구요,5,동영상 동작 설정 구매,동영상 동작 설정 구매
1017,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,처음시작해서 10분짜리했는데 자세 따라하느라 한 20분은한것같네요 오늘처음이니까 10분짜리한번했는데도.. 진짜 운동효과대박이네요ㅋㅋ와... 제발 작심삼일을 100번하면 일년이라는데 이마음으로 열심히해야게서요ㅋㅋㄱ 땀대박♡,5,시작 자세 운동 마음,시작 자세 운동 마음
1018,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,지금 운동하고 있는데 너무좋은거 같아요,5,운동,운동
1019,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,굿굿이에요 굿ㅎㅎㅎ 뭔가 성취감 있어여,5,성취,성취
1020,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,최고의 어플,5,최고,최고
1021,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,구간이 짧아 이용하기 좋아요,5,구간,구간
1022,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,설명도 쉽고 따라하기도 좋고 최고의 어플,5,설명 최고,설명 최고
1023,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,최고예요!,5,최고,최고
1024,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,운동이 되네요 땀이 뻘뻘~~,5,운동,운동
1025,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,힘든데 좋습니다 운동되네요 꾸준히하는게 관건,5,운동 관건,운동 관건
1026,매일 운동 - 운동 & 피트니스 트레이너 - 빠르고 효율적인 운동,좋아요,5,,
